ΠΥΓϋ	°ΛΧΦΖΐ·Φ	ΞεΈρΖΐ·Φ	Χά·Φ
ΑυΌΞΞµ	88.5	77.3	165.8
Αυ¶¬ΌΞ	98	67.7	165.7
ΑυΌΞΐέ	70.5	88.8	159.3
ΑυΌΞΞ°	70	76.6	146.6
ΑυΌΞΐΫ	95	76.6	171.6
Αυ·½ΌΞ	63	78.8	141.8
ΑυΌΞΞ³	73	78.0	151.0
ΑυΌΞΐΦ	98	78.0	176.0
ΑυΌΞ²Ι	95.5	80.4	175.9
ΑυΌΞ²Κ	60	76.6	136.6
ΑυΌΞ²Λ	91	74.8	165.8
ΑυΌΞ²Μ	88.5	77.3	165.8
ΑυΌΞΙμ	60.5	80.4	140.9
ΑυΌΞΙξ	62	83.2	145.2
ΑυΌΞΐξ	95.5	80.4	175.9
ΑυΌΞ²ρ	89	81.8	170.8
ΑυΞΖΌΞ	61	92.9	153.9
ΑυΌΞΐν	97	83.2	180.2
ΑυξΘΌΞ	61	92.9	153.9
ΑυΌΞΐλ	96	86.7	182.7
ΑυΏµΌΞ	88	75.7	163.7
ΑυΌΞΙΦ	89	81.8	170.8
ΑυΌΞΐζ	95	76.6	171.6
Αυ²βΌΞ	62	78.1	140.1
ΑυÒΛΌΞ	90.5	89.2	179.7
ΑυΌΞΐβ	90	83.2	173.2
ΑυΌΞ²ύ	60.5	83.0	143.5
ΑυΒΦΌΞ	98	73.5	171.5
ΑυΌΞ»Τ	63	78.0	141.0
ΑυΠ¦ΌΞ	61	92.9	153.9
ΑυΌΞ…	21	81.0	102.0
ΑυΌΞ²β	62	77.2	139.2
ΑυδήΌΞ	63	84.8	147.8
ΑυΌΞΐϋ	95.5	80.4	175.9
ΑυΌΞΐψ	95.5	77.3	172.8
ΑυΊ―ΌΞ	62.5	89.2	151.7
ΑυήΘΌΞ	91	85.2	176.2
ΑυΊ½ΌΞ	61	92.9	153.9
ΑυΌΞΐυ	89	86.8	175.8
ΑυΌΞΐς	90	77.2	167.2
ΑυΌΞι»	91	74.8	165.8
ΑυΌΞΐρ	95.5	88.8	184.3
Αυ¬BΌΞ	90	84.8	174.8
ΑυφΥΌΞ	61	86.0	147.0
Αυ»ύΌΞ	96	86.0	182.0
ΑυΌΞΫί	70.5	80.4	150.9
ΑυΌΞÒµ	90	77.2	167.2
ΑυΌΞΫέ	70	81.2	151.2
ΑυΌΓΌΞ	62.5	94.1	156.6
ΑυΥΐΌΞ	98	74.8	172.8
Αυ³ΗΌΞ	71	92.9	163.9
ΑυΞΐΌΞ	73	73.5	146.5
ΑυΌΞΚΑ	88.5	83.0	171.5
ΑυΌΞÒΆ	90	83.2	173.2
ΑυΌΞιΕ	91	74.8	165.8
Αυ»αΌΞ	62	78.1	140.1
ΑυΈίΌΞ	89	92.9	181.9
ΑυΌΞιΘ	91	78.0	169.0
ΑυΊ£ΌΞ	60	75.7	135.7
Αυη±ΌΞ	98	74.8	172.8
Αυ²ΤΌΞ	89	86.0	175.0
ΑυΖΊΌΞ	72.5	89.2	161.7
Αυ»ωΌΞ	70	75.7	145.7
ΑυΥΡΌΞ	98	85.2	183.2
Αυ½¨ΌΞ	91	85.2	176.2
ΑυΤφΌΞ	73	73.5	146.5
ΑυΌΞΎΫ	63	74.8	137.8
ΑυΏ­ΌΞ	90	84.8	174.8
ΑυΌΞΫτ	71	86.8	157.8
ΑυΌΞ³Μ	97	83.2	180.2
ΑυµνΌΞ	61.5	82.3	143.8
ΑυΘϋΌΞ	62	78.1	140.1
ΑυΓρΌΞ	63	67.7	130.7
ΑυΥώΌΞ	97.5	89.2	186.7
ΑυΌΞΟΈ	60	76.6	136.6
ΑυΚ¤ΌΞ	62	84.8	146.8
ΑυΝ¬ΌΞ	96	83.4	179.4
ΑυΣΐΌΞ	63	67.7	130.7
Αυ±ΪΌΞ	71	86.0	157.0
ΑυΌΞÒπ	90	83.2	173.2
ΑυμβΌΞ	97.5	94.1	191.6
ΑυΛ΄ΌΞ	62	84.8	146.8
ΑυδΏΌΞ	62	84.8	146.8
ΑυΎ­ΌΞ	90	78.1	168.1
Αυι¦ΌΞ	90	84.8	174.8
ΑυΌΞÒΰ	70	81.2	151.2
ΑυΌΞÒβ	72	77.2	149.2
ΑυΌΞÒγ	91	78.0	169.0
ΑυΌΞÒε	90	77.2	167.2
ΑυΌΞÒζ	71	86.8	157.8
ΑυÒΧΌΞ	97.5	89.2	186.7
ΑυΌΞ²Δ	88.5	80.4	168.9
ΑυΌΞÒι	89	75.0	164.0
ΑυΌΞÒκ	91	78.0	169.0
ΑυΥςΌΞ	62.5	94.1	156.6
Αυ·ªΌΞ	60	81.6	141.6
ΑυΌΞδΏ	62	83.2	145.2
ΑυκΨΌΞ	96	82.2	178.2
Αυ·²ΌΞ	62	92.1	154.1
ΑυΘτΌΞ	88	75.7	163.7
ΑυΌΞιª	90	77.2	167.2
ΑυθΊΌΞ	98	84.8	182.8
ΑυΌΞÒΥ	88	79.4	167.4
ΑυΌΞδΑ	62	83.2	145.2
ΑυΌΞÒΧ	95.5	83.0	178.5
ΑυΐξΌΞ	96.5	77.5	174.0
ΑυΌΞÒΪ	73	78.0	151.0
ΑυΌΞιΊ	90	77.2	167.2
ΑυΌΞÒέ	73	78.0	151.0
ΑυΌΞιΏ	91	74.8	165.8
ΑυΈρΌΞ	89	92.9	181.9
ΑυΔΎΌΞ	91	78.8	169.8
ΑυΌΞÒΖ	70	76.6	146.6
ΑυΌΞι¦	90	83.2	173.2
ΑυΣ«ΌΞ	98	74.8	172.8
ΑυΡΧΌΞ	97.5	89.2	186.7
ΑυΌΞÒΛ	88.5	83.0	171.5
